fecha;nombre;nombre_full;geo
2020-05-01;Arica;Arica_github;[(-70.322956, -18.479211), (-70.322248, -18.479802), (-70.32184, -18.480962), (-70.321004, -18.482712), (-70.317806, -18.484584), (-70.316562, -18.485072), (-70.315725, -18.486334), (-70.315747, -18.487677), (-70.314288, -18.488593), (-70.313923, -18.49018), (-70.313043, -18.491829), (-70.314373, -18.492175), (-70.315167, -18.494148), (-70.316058, -18.494413), (-70.315811, -18.495492), (-70.315339, -18.495492), (-70.314802, -18.496916), (-70.312313, -18.496407), (-70.312206, -18.494922), (-70.311806, -18.493408), (-70.310656, -18.492994), (-70.309342, -18.492103), (-70.306622, -18.488802), (-70.305234, -18.489533), (-70.304812, -18.48998), (-70.30499, -18.490631), (-70.305777, -18.490244), (-70.306574, -18.492024), (-70.308444, -18.494353), (-70.307074, -18.495095), (-70.307021, -18.495931), (-70.307526, -18.496685), (-70.308192, -18.497216), (-70.309201, -18.497513), (-70.310296, -18.497687), (-70.311541, -18.497628), (-70.31373, -18.499134), (-70.311198, -18.501983), (-70.309041, -18.500416), (-70.308601, -18.501128), (-70.303575, -18.500548), (-70.303505, -18.500966), (-70.302378, -18.500864), (-70.302679, -18.498808), (-70.301767, -18.497313), (-70.301957, -18.496471), (-70.300946, -18.49685), (-70.300321, -18.498368), (-70.300082, -18.498381), (-70.299063, -18.49949), (-70.299246, -18.499907), (-70.298752, -18.500538), (-70.298666, -18.501352), (-70.298645, -18.502288), (-70.299181, -18.503183), (-70.297701, -18.504058), (-70.296284, -18.501088), (-70.29504, -18.500701), (-70.294267, -18.499338), (-70.291929, -18.495166), (-70.289933, -18.494576), (-70.288473, -18.493959), (-70.287234, -18.496235), (-70.288138, -18.496681), (-70.286788, -18.499203), (-70.286091, -18.498836), (-70.285292, -18.500301), (-70.287004, -18.501237), (-70.28614, -18.503004), (-70.284164, -18.502015), (-70.282766, -18.504404), (-70.28017, -18.502532), (-70.284939, -18.493741), (-70.284258, -18.493375), (-70.282852, -18.494922), (-70.281929, -18.491666), (-70.278796, -18.492968), (-70.277681, -18.4913), (-70.277273, -18.490282), (-70.276694, -18.488532), (-70.276136, -18.486843), (-70.277895, -18.486171), (-70.277101, -18.483912), (-70.274998, -18.48377), (-70.274805, -18.483363), (-70.275535, -18.482752), (-70.277123, -18.481572), (-70.27914, -18.479903), (-70.280728, -18.47738), (-70.2815, -18.474754), (-70.281243, -18.470542), (-70.274355, -18.471417), (-70.274215, -18.469473), (-70.274424, -18.468074), (-70.274247, -18.465942), (-70.27553, -18.462965), (-70.277026, -18.461617), (-70.278802, -18.462792), (-70.279118, -18.460345), (-70.28032, -18.459938), (-70.280213, -18.45951), (-70.281071, -18.448234), (-70.284118, -18.43655), (-70.288238, -18.426778), (-70.289225, -18.426086), (-70.289268, -18.424376), (-70.294203, -18.424661), (-70.293774, -18.426005), (-70.29519, -18.426005), (-70.29521, -18.435322), (-70.301112, -18.435288), (-70.301799, -18.434148), (-70.302614, -18.433863), (-70.308236, -18.435613), (-70.306091, -18.439908), (-70.304481, -18.443878), (-70.303129, -18.449089), (-70.302786, -18.450799), (-70.302743, -18.454137), (-70.303119, -18.45661), (-70.304009, -18.459368), (-70.305661, -18.463947), (-70.309009, -18.467326), (-70.30976, -18.46755), (-70.311841, -18.467204), (-70.312807, -18.468018), (-70.313644, -18.470704), (-70.31506, -18.471315), (-70.315875, -18.471315), (-70.316519, -18.472129), (-70.31918, -18.470664), (-70.319523, -18.471396), (-70.323557, -18.468954), (-70.323729, -18.469564), (-70.320596, -18.4716), (-70.321712, -18.474714), (-70.321862, -18.4749), (-70.323127, -18.474599), (-70.323116, -18.474916), (-70.322076, -18.475152), (-70.323728, -18.475949), (-70.32581, -18.475161), (-70.325303, -18.474368), (-70.323766, -18.473574), (-70.323976, -18.473228), (-70.325681, -18.474123), (-70.325628, -18.474469), (-70.326175, -18.474978), (-70.328278, -18.474022), (-70.326904, -18.469727), (-70.327714, -18.469397), (-70.327409, -18.468333), (-70.327698, -18.468201), (-70.329522, -18.474001), (-70.329565, -18.4751), (-70.325531, -18.478357), (-70.327462, -18.481491), (-70.328085, -18.481643), (-70.330552, -18.480819), (-70.330424, -18.480249), (-70.33081, -18.47972), (-70.330204, -18.4793), (-70.329386, -18.479721), (-70.329168, -18.479695), (-70.330145, -18.479018), (-70.331153, -18.479374), (-70.333342, -18.479333), (-70.333846, -18.480178), (-70.33332, -18.481022), (-70.332441, -18.481531), (-70.331454, -18.481653), (-70.331271, -18.481175), (-70.330917, -18.481185), (-70.327248, -18.482427), (-70.326604, -18.483566), (-70.32654, -18.484197), (-70.326701, -18.484716), (-70.32669, -18.485194), (-70.327377, -18.48609), (-70.327366, -18.486904), (-70.327061, -18.486914), (-70.327037, -18.486634), (-70.326798, -18.486639), (-70.326574, -18.48723), (-70.327327, -18.488288), (-70.328018, -18.488532), (-70.328541, -18.488328), (-70.328643, -18.487474), (-70.328855, -18.487447), (-70.32881, -18.488356), (-70.329237, -18.48894), (-70.32945, -18.489768), (-70.329274, -18.490874), (-70.329508, -18.491284), (-70.329442, -18.491695), (-70.328524, -18.492782), (-70.328556, -18.493532), (-70.327744, -18.493648), (-70.327319, -18.493275), (-70.327113, -18.492754), (-70.326142, -18.493339), (-70.32626, -18.493939), (-70.3267, -18.4946), (-70.326799, -18.495325), (-70.325997, -18.495888), (-70.325066, -18.495534), (-70.325352, -18.494706), (-70.325165, -18.494), (-70.324972, -18.492901), (-70.325487, -18.490938), (-70.326517, -18.489706), (-70.325702, -18.487793), (-70.325552, -18.484965), (-70.325981, -18.48297), (-70.326288, -18.482155), (-70.326166, -18.481585), (-70.325722, -18.480302), (-70.324935, -18.479548), (-70.323503, -18.478689), (-70.322956, -18.479211)]
2020-05-01;Independencia;Independencia_github;[(-70.671228, -33.42585), (-70.671317, -33.426466), (-70.662798, -33.42917), (-70.653013, -33.432035), (-70.651658, -33.432368), (-70.651658, -33.431401), (-70.651272, -33.427211), (-70.650671, -33.421229), (-70.650242, -33.418507), (-70.650113, -33.417719), (-70.652688, -33.417468), (-70.652731, -33.415355), (-70.652602, -33.411235), (-70.653632, -33.411235), (-70.653589, -33.409766), (-70.653117, -33.409802), (-70.652645, -33.40751), (-70.652946, -33.407474), (-70.652774, -33.406506), (-70.657151, -33.40536), (-70.658181, -33.400631), (-70.66067, -33.400918), (-70.660971, -33.399448), (-70.663331, -33.399126), (-70.663889, -33.399341), (-70.664104, -33.399054), (-70.667065, -33.399054), (-70.668138, -33.399126), (-70.667709, -33.399484), (-70.668481, -33.399699), (-70.672086, -33.399914), (-70.672215, -33.399628), (-70.681012, -33.402745), (-70.681871, -33.402924), (-70.680283, -33.405539), (-70.678867, -33.417217), (-70.678094, -33.418579), (-70.676978, -33.420083), (-70.674661, -33.421659), (-70.674017, -33.422375), (-70.672, -33.424847), (-70.671142, -33.425527), (-70.671228, -33.42585)]
2020-05-01;Quinta Normal;Quinta Normal_github;[(-70.691715, -33.439259), (-70.683271, -33.438552), (-70.6834, -33.437415), (-70.683123, -33.437365), (-70.683169, -33.436689), (-70.682702, -33.436609), (-70.682751, -33.43634), (-70.681737, -33.436179), (-70.681656, -33.437544), (-70.681243, -33.437522), (-70.6812, -33.438417), (-70.680127, -33.438382), (-70.680694, -33.429993), (-70.680222, -33.428095), (-70.678934, -33.427271), (-70.677046, -33.426519), (-70.674643, -33.427289), (-70.672368, -33.428131), (-70.671971, -33.428301), (-70.671317, -33.426466), (-70.675356, -33.425095), (-70.677083, -33.424083), (-70.681482, -33.422436), (-70.683188, -33.421791), (-70.685494, -33.420412), (-70.690243, -33.418559), (-70.691938, -33.416929), (-70.693161, -33.415228), (-70.695092, -33.413598), (-70.701293, -33.409586), (-70.702645, -33.409048), (-70.703954, -33.408135), (-70.706057, -33.407848), (-70.708052, -33.407973), (-70.711121, -33.407848), (-70.713396, -33.408242), (-70.714962, -33.40921), (-70.716464, -33.409792), (-70.718416, -33.410186), (-70.720369, -33.41049), (-70.722494, -33.411834), (-70.721978, -33.412281), (-70.721426, -33.41255), (-70.721152, -33.412546), (-70.720042, -33.413011), (-70.719425, -33.413284), (-70.718738, -33.413681), (-70.717455, -33.414474), (-70.716715, -33.414845), (-70.715841, -33.415136), (-70.716506, -33.416148), (-70.716635, -33.416368), (-70.716715, -33.416605), (-70.716801, -33.416806), (-70.71708, -33.418002), (-70.717209, -33.418664), (-70.720281, -33.430732), (-70.721569, -33.436713), (-70.718404, -33.437052), (-70.710518, -33.438153), (-70.707031, -33.438037), (-70.707331, -33.441949), (-70.707374, -33.446067), (-70.707031, -33.448861), (-70.704156, -33.448467), (-70.700164, -33.448001), (-70.697933, -33.447715), (-70.692311, -33.447965), (-70.692058, -33.444577), (-70.69165, -33.439814), (-70.691715, -33.439259)]
2020-05-01;Santiago Norte;Santiago Norte_github;[(-70.680514, -33.432759), (-70.680127, -33.438382), (-70.6812, -33.438417), (-70.681243, -33.437522), (-70.681656, -33.437544), (-70.681737, -33.436179), (-70.682751, -33.43634), (-70.682702, -33.436609), (-70.683169, -33.436689), (-70.683123, -33.437365), (-70.6834, -33.437415), (-70.683271, -33.438552), (-70.691715, -33.439259), (-70.69165, -33.439814), (-70.691951, -33.442536), (-70.692058, -33.444577), (-70.680299, -33.443861), (-70.679698, -33.443717), (-70.679334, -33.447236), (-70.679055, -33.450951), (-70.67785, -33.450621), (-70.677855, -33.451548), (-70.678053, -33.454391), (-70.67832, -33.458124), (-70.675696, -33.458656), (-70.672199, -33.458449), (-70.670761, -33.45817), (-70.668238, -33.457748), (-70.664118, -33.45703), (-70.662449, -33.4569), (-70.660491, -33.456788), (-70.660373, -33.456963), (-70.660438, -33.457271), (-70.660373, -33.458032), (-70.660051, -33.458354), (-70.659107, -33.458211), (-70.65834, -33.458131), (-70.657594, -33.458319), (-70.657627, -33.459176), (-70.657455, -33.460176), (-70.657004, -33.460368), (-70.656532, -33.460324), (-70.649408, -33.459572), (-70.62971, -33.455526), (-70.634817, -33.438517), (-70.63516, -33.43687), (-70.635246, -33.435903), (-70.646233, -33.433467), (-70.653013, -33.432035), (-70.662798, -33.42917), (-70.670008, -33.426877), (-70.671317, -33.426466), (-70.671971, -33.428301), (-70.672368, -33.428131), (-70.674643, -33.427289), (-70.677046, -33.426519), (-70.678934, -33.427271), (-70.680222, -33.428095), (-70.680694, -33.429993), (-70.680514, -33.432759)]
2020-05-01;Ñuñoa Norte;Ñuñoa Norte_github;[(-70.631436, -33.449798), (-70.62971, -33.455526), (-70.628571, -33.455388), (-70.626855, -33.455675), (-70.621018, -33.461117), (-70.604882, -33.462477), (-70.601191, -33.464554), (-70.599432, -33.464625), (-70.595183, -33.46459), (-70.590634, -33.464983), (-70.585785, -33.465879), (-70.581278, -33.467382), (-70.576386, -33.469136), (-70.570636, -33.45367), (-70.570979, -33.451378), (-70.572009, -33.445577), (-70.573382, -33.437914), (-70.575785, -33.436768), (-70.577502, -33.436293), (-70.579218, -33.435604), (-70.58218, -33.433831), (-70.587158, -33.439525), (-70.59278, -33.447815), (-70.59793, -33.444843), (-70.598412, -33.444319), (-70.599238, -33.444369), (-70.599217, -33.44461), (-70.60162, -33.444861), (-70.608144, -33.445685), (-70.613889, -33.446799), (-70.613714, -33.447522), (-70.616523, -33.447976), (-70.617113, -33.448142), (-70.618432, -33.448361), (-70.61876, -33.447233), (-70.625342, -33.448565), (-70.631436, -33.449798)]
2020-05-01;Estación Central;Estación Central_github;[(-70.707031, -33.448861), (-70.706784, -33.450749), (-70.70629, -33.45211), (-70.705475, -33.457266), (-70.711976, -33.458752), (-70.730906, -33.455031), (-70.731013, -33.467973), (-70.733781, -33.469817), (-70.722945, -33.473057), (-70.72258, -33.473603), (-70.72185, -33.473191), (-70.712076, -33.481791), (-70.711926, -33.482462), (-70.711068, -33.482292), (-70.710242, -33.48248), (-70.702388, -33.480813), (-70.699384, -33.480419), (-70.691192, -33.478093), (-70.690742, -33.477574), (-70.690184, -33.477413), (-70.688703, -33.477359), (-70.685941, -33.476536), (-70.685619, -33.476178), (-70.685383, -33.476088), (-70.684675, -33.476088), (-70.684224, -33.476285), (-70.683108, -33.476518), (-70.680748, -33.476554), (-70.68077, -33.47685), (-70.678238, -33.47685), (-70.678281, -33.476206), (-70.674505, -33.47617), (-70.673646, -33.475704), (-70.67296, -33.474666), (-70.673046, -33.470478), (-70.679998, -33.47055), (-70.67944, -33.470084), (-70.679054, -33.469189), (-70.67832, -33.458124), (-70.67785, -33.450621), (-70.679055, -33.450951), (-70.679698, -33.443717), (-70.680299, -33.443861), (-70.692058, -33.444577), (-70.692311, -33.447965), (-70.697933, -33.447715), (-70.707031, -33.448861)]
2020-05-01;Pedro Aguirre Cerda;Pedro Aguirre Cerda_github;[(-70.654925, -33.476718), (-70.66163, -33.475955), (-70.664806, -33.476062), (-70.666222, -33.476385), (-70.669279, -33.476537), (-70.670728, -33.476528), (-70.671544, -33.476277), (-70.671629, -33.476671), (-70.671758, -33.478461), (-70.680856, -33.478389), (-70.680748, -33.476554), (-70.683108, -33.476518), (-70.684224, -33.476285), (-70.684675, -33.476088), (-70.685383, -33.476088), (-70.685619, -33.476178), (-70.685941, -33.476536), (-70.68579, -33.476822), (-70.685404, -33.478415), (-70.685361, -33.478934), (-70.685404, -33.47965), (-70.688838, -33.488005), (-70.691027, -33.493642), (-70.695229, -33.502116), (-70.69273, -33.502922), (-70.688781, -33.504308), (-70.684683, -33.50574), (-70.684028, -33.505892), (-70.682838, -33.506357), (-70.678632, -33.508227), (-70.67801, -33.508361), (-70.676765, -33.508415), (-70.674555, -33.509354), (-70.671808, -33.510526), (-70.671036, -33.510776), (-70.655773, -33.478893), (-70.65544, -33.477846), (-70.654925, -33.476718)]
2020-05-01;San Ramón;San Ramón_github;[(-70.651006, -33.539688), (-70.651048, -33.539974), (-70.650855, -33.540421), (-70.651992, -33.544856), (-70.652314, -33.54482), (-70.653394, -33.548798), (-70.654911, -33.554942), (-70.632174, -33.55819), (-70.631058, -33.558011), (-70.63402, -33.543383), (-70.63417, -33.541988), (-70.636745, -33.541791), (-70.643139, -33.540933), (-70.651006, -33.539688)]
2020-05-01;La Pintana;La Pintana_github;[(-70.654911, -33.554942), (-70.656804, -33.562367), (-70.630747, -33.565794), (-70.627507, -33.566205), (-70.61347, -33.563864), (-70.612183, -33.564025), (-70.612462, -33.562201), (-70.610445, -33.561968), (-70.612234, -33.555645), (-70.623606, -33.558256), (-70.630559, -33.559901), (-70.631058, -33.558011), (-70.632174, -33.55819), (-70.654911, -33.554942)]
2020-05-01;El Bosque;El Bosque_github;[(-70.685342, -33.539101), (-70.686029, -33.54046), (-70.686608, -33.541301), (-70.686265, -33.541194), (-70.685214, -33.540604), (-70.686673, -33.541981), (-70.69311, -33.556144), (-70.695384, -33.55593), (-70.697058, -33.56369), (-70.696586, -33.564012), (-70.700835, -33.573023), (-70.676673, -33.582533), (-70.663155, -33.58525), (-70.660237, -33.574024), (-70.659808, -33.57338), (-70.656804, -33.562367), (-70.653394, -33.548798), (-70.656705, -33.54821), (-70.65679, -33.548013), (-70.666779, -33.546368), (-70.668324, -33.545402), (-70.672723, -33.54373), (-70.681263, -33.540582), (-70.685342, -33.539101)]
2020-05-01;San Bernardo Nororiente;San Bernardo Nororiente_github;[(-70.666862, -33.596594), (-70.663155, -33.58525), (-70.676673, -33.582533), (-70.700835, -33.573023), (-70.696586, -33.564012), (-70.697058, -33.56369), (-70.695384, -33.55593), (-70.69311, -33.556144), (-70.686673, -33.541981), (-70.685214, -33.540604), (-70.686265, -33.541194), (-70.686608, -33.541301), (-70.686029, -33.54046), (-70.685342, -33.539101), (-70.706473, -33.553366), (-70.710078, -33.555297), (-70.710808, -33.556835), (-70.710636, -33.559266), (-70.714584, -33.587514), (-70.685831, -33.594306), (-70.681668, -33.593091), (-70.680939, -33.593091), (-70.679651, -33.593698), (-70.666862, -33.596594)]
2020-05-01;Puente Alto Poniente;Puente Alto Poniente_github;[(-70.592418, -33.569895), (-70.597868, -33.567857), (-70.598533, -33.567428), (-70.599156, -33.567285), (-70.600035, -33.567338), (-70.600915, -33.567535), (-70.611644, -33.570503), (-70.612288, -33.57061), (-70.610914, -33.579621), (-70.610013, -33.581444), (-70.609455, -33.584376), (-70.609541, -33.586342), (-70.608125, -33.589881), (-70.606966, -33.595279), (-70.606794, -33.597031), (-70.606365, -33.598103), (-70.604756, -33.602214), (-70.619819, -33.604037), (-70.626814, -33.604984), (-70.626493, -33.618297), (-70.627952, -33.623801), (-70.62954, -33.631269), (-70.630612, -33.637915), (-70.631299, -33.642631), (-70.629625, -33.641345), (-70.628424, -33.641345), (-70.627222, -33.641416), (-70.625334, -33.641738), (-70.624304, -33.642417), (-70.622587, -33.643238), (-70.620527, -33.64306), (-70.618467, -33.64331), (-70.615549, -33.642167), (-70.612888, -33.641774), (-70.609927, -33.641524), (-70.604305, -33.641309), (-70.600186, -33.63963), (-70.596237, -33.637915), (-70.592461, -33.638165), (-70.590487, -33.637522), (-70.588598, -33.63545), (-70.586109, -33.634342), (-70.584135, -33.63427), (-70.581818, -33.634556), (-70.580444, -33.633342), (-70.579886, -33.63134), (-70.578685, -33.629268), (-70.576668, -33.627231), (-70.575724, -33.626838), (-70.575767, -33.626374), (-70.575767, -33.626124), (-70.575509, -33.625052), (-70.575166, -33.624265), (-70.574479, -33.623515), (-70.573535, -33.622836), (-70.573578, -33.621156), (-70.575681, -33.61072), (-70.577054, -33.602857), (-70.580316, -33.586735), (-70.583062, -33.572434), (-70.583835, -33.568751), (-70.592418, -33.569895)]
2020-05-01;Angol;Angol_github;[(-72.711231, -37.802906), (-72.705308, -37.799854), (-72.705137, -37.800498), (-72.706639, -37.802736), (-72.71372, -37.804568), (-72.714793, -37.805178), (-72.713376, -37.807822), (-72.71093, -37.808026), (-72.71196, -37.81301), (-72.710329, -37.81301), (-72.710844, -37.815892), (-72.706896, -37.817858), (-72.704708, -37.816705), (-72.702347, -37.816299), (-72.693986, -37.816424), (-72.690381, -37.817602), (-72.689984, -37.818755), (-72.687559, -37.819069), (-72.686497, -37.818306), (-72.683193, -37.817221), (-72.682978, -37.818306), (-72.683246, -37.819162), (-72.681122, -37.823747), (-72.677624, -37.82106), (-72.674062, -37.81934), (-72.675725, -37.821281), (-72.671734, -37.823255), (-72.67005, -37.821594), (-72.668977, -37.822399), (-72.667636, -37.82056), (-72.668837, -37.818314), (-72.668355, -37.81617), (-72.669181, -37.815085), (-72.667335, -37.812466), (-72.674996, -37.807855), (-72.67992, -37.810737), (-72.682602, -37.809211), (-72.68007, -37.806109), (-72.684791, -37.803786), (-72.685435, -37.802379), (-72.686207, -37.801667), (-72.684856, -37.793986), (-72.686937, -37.793698), (-72.686207, -37.788441), (-72.687237, -37.78505), (-72.691486, -37.784914), (-72.691529, -37.782913), (-72.694748, -37.782981), (-72.693589, -37.785558), (-72.694396, -37.788924), (-72.697143, -37.788907), (-72.697808, -37.786906), (-72.702465, -37.785634), (-72.703945, -37.783888), (-72.705683, -37.783769), (-72.705254, -37.786008), (-72.708301, -37.786516), (-72.708923, -37.790925), (-72.711477, -37.791078), (-72.711842, -37.786279), (-72.714867, -37.786923), (-72.71667, -37.786024), (-72.716367, -37.789062), (-72.717054, -37.790063), (-72.720637, -37.789605), (-72.722418, -37.78969), (-72.722912, -37.791691), (-72.72671, -37.791962), (-72.72937, -37.791928), (-72.729864, -37.794658), (-72.728748, -37.796489), (-72.727847, -37.796506), (-72.726967, -37.796286), (-72.726538, -37.799083), (-72.718706, -37.798202), (-72.715788, -37.799151), (-72.712998, -37.801423), (-72.711231, -37.802906)]
2020-05-01;Victoria;Victoria_github;[(-72.316277, -38.240936), (-72.319383, -38.239194), (-72.320949, -38.239211), (-72.321035, -38.23788), (-72.321786, -38.23584), (-72.322838, -38.235571), (-72.323932, -38.233043), (-72.32346, -38.228896), (-72.324511, -38.228104), (-72.32258, -38.227733), (-72.316272, -38.217433), (-72.321937, -38.221011), (-72.321529, -38.220033), (-72.322967, -38.219207), (-72.323031, -38.220421), (-72.323889, -38.220775), (-72.323932, -38.222022), (-72.32831, -38.222157), (-72.330391, -38.222629), (-72.332601, -38.222646), (-72.33258, -38.224736), (-72.333803, -38.224736), (-72.334446, -38.225613), (-72.336099, -38.22563), (-72.337386, -38.223776), (-72.339596, -38.222444), (-72.340498, -38.223304), (-72.341377, -38.22327), (-72.343759, -38.222326), (-72.345562, -38.226018), (-72.341356, -38.227105), (-72.341324, -38.22815), (-72.343384, -38.227113), (-72.343555, -38.228883), (-72.343877, -38.229271), (-72.344996, -38.22904), (-72.344791, -38.232413), (-72.351657, -38.231941), (-72.355176, -38.232042), (-72.364446, -38.230998), (-72.36642, -38.231234), (-72.362772, -38.233492), (-72.362815, -38.234368), (-72.359983, -38.234604), (-72.356104, -38.239225), (-72.355418, -38.238618), (-72.354817, -38.237472), (-72.345247, -38.237876), (-72.343144, -38.239393), (-72.337307, -38.238888), (-72.336192, -38.239528), (-72.335333, -38.242831), (-72.33087, -38.246707), (-72.327394, -38.246336), (-72.324991, -38.245662), (-72.319839, -38.246632), (-72.316277, -38.240936)]
2020-05-01;Punta Arenas;Punta Arenas_github;[(-70.872971, -53.093528), (-70.881898, -53.092291), (-70.881898, -53.093219), (-70.887855, -53.091879), (-70.888936, -53.094353), (-70.883614, -53.095281), (-70.884988, -53.102084), (-70.889279, -53.100125), (-70.890824, -53.100641), (-70.893914, -53.098064), (-70.899922, -53.099713), (-70.904163, -53.100022), (-70.902446, -53.10332), (-70.89867, -53.104248), (-70.897297, -53.105897), (-70.893005, -53.107546), (-70.89043, -53.109916), (-70.88734, -53.111049), (-70.886482, -53.112389), (-70.883099, -53.112183), (-70.878979, -53.114913), (-70.892412, -53.12161), (-70.904299, -53.115068), (-70.908848, -53.116665), (-70.919466, -53.119189), (-70.926651, -53.114346), (-70.930513, -53.116304), (-70.935749, -53.119034), (-70.939182, -53.12027), (-70.942873, -53.122176), (-70.946907, -53.124082), (-70.951799, -53.124443), (-70.952915, -53.128099), (-70.95446, -53.129335), (-70.955576, -53.13088), (-70.957206, -53.132992), (-70.957807, -53.134073), (-70.957464, -53.135566), (-70.949825, -53.136339), (-70.944589, -53.136854), (-70.946864, -53.140948), (-70.966047, -53.138501), (-70.969394, -53.14468), (-70.967334, -53.145246), (-70.9627, -53.145555), (-70.95961, -53.145966), (-70.958322, -53.145864), (-70.959488, -53.148283), (-70.961548, -53.153276), (-70.961119, -53.156004), (-70.972449, -53.157162), (-70.974595, -53.160224), (-70.968457, -53.161048), (-70.972363, -53.167737), (-70.96064, -53.16856), (-70.965275, -53.17854), (-70.967506, -53.181833), (-70.969566, -53.187542), (-70.963987, -53.188622), (-70.954975, -53.189907), (-70.953602, -53.18713), (-70.946478, -53.189393), (-70.939096, -53.182141), (-70.93044, -53.185587), (-70.932856, -53.189393), (-70.934598, -53.191347), (-70.937516, -53.191244), (-70.940949, -53.195153), (-70.937465, -53.19613), (-70.936829, -53.198906), (-70.938667, -53.202556), (-70.935148, -53.203251), (-70.934547, -53.199934), (-70.933517, -53.197826), (-70.931225, -53.19325), (-70.929276, -53.190833), (-70.925535, -53.185382), (-70.924899, -53.182964), (-70.921415, -53.179878), (-70.918669, -53.178026), (-70.918053, -53.175569), (-70.918553, -53.172752), (-70.917149, -53.170926), (-70.912282, -53.168714), (-70.911681, -53.169074), (-70.904471, -53.165936), (-70.904214, -53.165524), (-70.902068, -53.165421), (-70.900265, -53.164804), (-70.895237, -53.164238), (-70.891202, -53.164366), (-70.889229, -53.163414), (-70.886954, -53.159889), (-70.886568, -53.157033), (-70.883932, -53.150651), (-70.883614, -53.148026), (-70.880646, -53.144525), (-70.87601, -53.142157), (-70.869401, -53.139634), (-70.865711, -53.137214), (-70.859856, -53.134086), (-70.854003, -53.130237), (-70.85838, -53.127584), (-70.861985, -53.124752), (-70.871032, -53.118056), (-70.875546, -53.113213), (-70.879101, -53.108164), (-70.879787, -53.10332), (-70.877899, -53.101001), (-70.876011, -53.099713), (-70.874577, -53.098373), (-70.874203, -53.095899), (-70.872971, -53.093528)]
