nombre,ZonasInFull,ZonasInPartial,ZonasInArea0.25,n_InFull,n_InPartial,n_InArea0.25
Independencia,13108031005 13108021004 13108021005 13108031001 13108031002 13108051002 13108031003 13108051003 13108031004 13108041002 13108061001 13108051005 13108021002 13108021001 13108061002 13108071001 13108021003 13108011004 13108011005 13108011001 13108011002 13108071002 13108011003,13104091003 13104051006 13104061002 13108031005 13108021004 13108021005 13108031001 13108031002 13108051002 13108031003 13108051004 13108051003 13108031004 13108041002 13108061001 13108051005 13108021002 13108021001 13108061002 13108071001 13108021003 13108011004 13108011005 13108011001 13108011002 13108071002 13108011003 13108051001 13108041001 13127021001 13127011002 13127011001 13127031002,13108031005 13108021004 13108021005 13108031001 13108031002 13108051002 13108031003 13108051004 13108051003 13108031004 13108041002 13108061001 13108051005 13108021002 13108021001 13108061002 13108071001 13108021003 13108011004 13108011005 13108011001 13108011002 13108071002 13108011003 13108051001 13108041001,23,33,26
Las Condes,13114041003 13114151002 13114161002 13114151001 13114041002 13114021002 13114021003 13114161001 13114161003 13114081005 13114121005 13114021004 13114031002 13114151003 13114141001 13114021001 13114031001 13114011001 13114061001 13114011002 13114071004 13114031003 13114031004 13114161004 13114031005 13114071002 13114011003 13114031006 13114031007 13114011009 13114011008 13114071003 13114011004 13114071001 13114011005 13114051003 13114051004 13114121002 13114111001 13114101005 13114091002 13114131006 13114121006 13114131003 13114081002 13114101004 13114111002 13114111007 13114131009 13114141004 13114131007 13114101003 13114011006 13114061002 13114011007 13114111006 13114051001 13114131002 13114131010 13114131004 13114111004 13114111005 13114131005 13114051002 13114111003 13114091004 13114131008 13114091001 13114081001 13114101002 13114121001 13114091003 13114141002 13114081003 13114101001 13114121003 13114121007 13114121004 13114081004,13113031001 13113061001 13113061003 13113051001 13114041001 13114041003 13114151002 13114161002 13114151001 13114041002 13114021002 13114021003 13114161001 13114161003 13114081005 13114121005 13114021004 13114031002 13114151003 13114141001 13114021001 13114031001 13114011001 13114061001 13114011002 13114071004 13114031003 13114031004 13114161004 13114031005 13114071002 13114011003 13114031006 13114031007 13114011009 13114011008 13114071003 13114011004 13114071001 13114011005 13114051003 13114051004 13114121002 13114111001 13114101005 13114091002 13114131006 13114121006 13114141003 13114131001 13114131003 13114081002 13114101004 13114111002 13114111007 13114131009 13114141004 13114131007 13114101003 13114011006 13114061002 13114011007 13114111006 13114051001 13114131002 13114131010 13114131004 13114111004 13114111005 13114131005 13114051002 13114111003 13114091004 13114131008 13114091001 13114081001 13114101002 13114121001 13114091003 13114141002 13114081003 13114101001 13114121003 13114121007 13114121004 13114081004 13115021004 13115021003 13123041003,13114041001 13114041003 13114151002 13114161002 13114151001 13114041002 13114021002 13114021003 13114161001 13114161003 13114081005 13114121005 13114021004 13114031002 13114151003 13114141001 13114021001 13114031001 13114011001 13114061001 13114011002 13114071004 13114031003 13114031004 13114161004 13114031005 13114071002 13114011003 13114031006 13114031007 13114011009 13114011008 13114071003 13114011004 13114071001 13114011005 13114051003 13114051004 13114121002 13114111001 13114101005 13114091002 13114131006 13114121006 13114141003 13114131001 13114131003 13114081002 13114101004 13114111002 13114111007 13114131009 13114141004 13114131007 13114101003 13114011006 13114061002 13114011007 13114111006 13114051001 13114131002 13114131010 13114131004 13114111004 13114111005 13114131005 13114051002 13114111003 13114091004 13114131008 13114091001 13114081001 13114101002 13114121001 13114091003 13114141002 13114081003 13114101001 13114121003 13114121007 13114121004 13114081004,79,89,82
Lo Barnechea,13115011011 13115011010 13115011006 13115011007 13115021002 13115041004 13115011008 13115011009 13115041003 13115011005 13115041001 13115011004 13115041005 13115011003 13115011002 13115041002 13115021005 13115021001,13114041001 13114041003 13115011011 13115011010 13115011006 13115011007 13115021002 13115041004 13115011008 13115011012 13115011009 13115041003 13115011005 13115041001 13115011004 13115041005 13115011001 13115011003 13115011002 13115041002 13115021004 13115021005 13115021003 13115021001 13132031001 13132031002 13132041003,13115011011 13115011010 13115011006 13115011007 13115021002 13115041004 13115011008 13115011012 13115011009 13115041003 13115011005 13115041001 13115011004 13115041005 13115011001 13115011003 13115011002 13115041002 13115021004 13115021005 13115021003 13115021001,18,27,22
Providencia,13123041001 13123041006 13123021006 13123011007 13123021005 13123011001 13123021003 13123011004 13123041004 13123041007 13123061004 13123041011 13123011006 13123021004 13123011002 13123041005 13123011005 13123061002 13123011003 13123011008 13123081002 13123021002 13123031004 13123031006 13123081004 13123031009 13123031003 13123031002 13123031001 13123031011 13123081001 13123031010 13123031007 13123041010 13123031005 13123081003 13123031008 13123021001 13123041002 13123041008 13123041009,13120021004 13120021006 13120011001 13120111007 13123071001 13123041003 13123041001 13123041006 13123021006 13123011007 13123021005 13123011001 13123051002 13123071003 13123021003 13123011004 13123041004 13123041007 13123061004 13123061001 13123041011 13123051001 13123011006 13123021007 13123021004 13123041012 13123011002 13123041005 13123011005 13123061002 13123011003 13123061003 13123071002 13123011008 13123081002 13123021002 13123031004 13123031006 13123081004 13123031009 13123031003 13123031002 13123031001 13123031011 13123081001 13123031010 13123031007 13123041010 13123031005 13123081003 13123031008 13123021001 13123041002 13123041008 13123041009 13127101001,13123071001 13123041003 13123041001 13123041006 13123021006 13123011007 13123021005 13123011001 13123051002 13123071003 13123021003 13123011004 13123041004 13123041007 13123061004 13123061001 13123041011 13123051001 13123011006 13123021007 13123021004 13123041012 13123011002 13123041005 13123011005 13123061002 13123011003 13123061003 13123071002 13123011008 13123081002 13123021002 13123031004 13123031006 13123081004 13123031009 13123031003 13123031002 13123031001 13123031011 13123081001 13123031010 13123031007 13123041010 13123031005 13123081003 13123031008 13123021001 13123041002 13123041008 13123041009,41,56,51
Santiago,13101211002 13101201002 13101191003 13101151001 13101211001 13101191002 13101121007 13101031002 13101021001 13101021005 13101021007 13101021008 13101041002 13101051002 13101061002 13101061003 13101081001 13101081003 13101091001 13101091002 13101091003 13101091004 13101111009 13101111012 13101111013 13101111019 13101121001 13101121005 13101131001 13101131004 13101131006 13101141002 13101151004 13101171001 13101171003 13101181001 13101201001 13101231001 13101261001 13101271001 13101281004 13101191001 13101161002 13101161003 13101171002 13101181002 13101201003 13101221001 13101111016 13101051001 13101101006 13101081004 13101031001 13101071002 13101021004 13101081002 13101011002 13101031003 13101011001 13101071003 13101021003 13101021002 13101021006 13101011005 13101011003 13101101001 13101041004 13101041003 13101011004 13101041001 13101061001 13101031004 13101101002 13101111001 13101031005 13101031006 13101101003 13101041005 13101111002 13101031007 13101111003 13101051003 13101111014 13101101004 13101101005 13101111015 13101131009 13101121002 13101131007 13101111017 13101111005 13101111004 13101121008 13101131002 13101101007 13101121009 13101281001 13101101008 13101111018 13101111006 13101101009 13101111011 13101111010 13101121006 13101101010 13101111007 13101131003 13101121004 13101121003 13101131008 13101281002 13101111008 13101271002 13101131005 13101141001 13101281003 13101271003 13101141003 13101271004 13101281006 13101281005 13101151003 13101151002 13101161001,13101211002 13101201002 13101241001 13101071001 13101191003 13101241002 13101151001 13101211001 13101191002 13101121007 13101031002 13101021001 13101021005 13101021007 13101021008 13101041002 13101051002 13101061002 13101061003 13101081001 13101081003 13101091001 13101091002 13101091003 13101091004 13101111009 13101111012 13101111013 13101111019 13101121001 13101121005 13101131001 13101131004 13101131006 13101141002 13101151004 13101171001 13101171003 13101181001 13101201001 13101231001 13101251001 13101261001 13101271001 13101281004 13101191001 13101161002 13101161003 13101171002 13101181002 13101201003 13101221001 13101111016 13101051001 13101101006 13101081004 13101031001 13101071002 13101021004 13101081002 13101011002 13101031003 13101011001 13101071003 13101021003 13101021002 13101021006 13101291001 13101011005 13101011003 13101101001 13101041004 13101041003 13101011004 13101041001 13101061001 13101031004 13101101002 13101111001 13101031005 13101031006 13101101003 13101041005 13101111002 13101031007 13101111003 13101051003 13101111014 13101101004 13101101005 13101111015 13101131009 13101121002 13101131007 13101111017 13101111005 13101111004 13101121008 13101131002 13101101007 13101121009 13101281001 13101101008 13101111018 13101111006 13101101009 13101111011 13101111010 13101121006 13101101010 13101111007 13101131003 13101121004 13101121003 13101131008 13101281002 13101111008 13101271002 13101131005 13101141001 13101281003 13101271003 13101141003 13101271004 13101281006 13101281005 13101151003 13101151002 13101161001 13106021001 13106121002 13106121001 13106021002 13123061001 13126031003 13126031002 13129011003 13129011002 13129011001 13121021001,13101211002 13101201002 13101241001 13101071001 13101191003 13101241002 13101151001 13101211001 13101191002 13101121007 13101031002 13101021001 13101021005 13101021007 13101021008 13101041002 13101051002 13101061002 13101061003 13101081001 13101081003 13101091001 13101091002 13101091003 13101091004 13101111009 13101111012 13101111013 13101111019 13101121001 13101121005 13101131001 13101131004 13101131006 13101141002 13101151004 13101171001 13101171003 13101181001 13101201001 13101231001 13101251001 13101261001 13101271001 13101281004 13101191001 13101161002 13101161003 13101171002 13101181002 13101201003 13101221001 13101111016 13101051001 13101101006 13101081004 13101031001 13101071002 13101021004 13101081002 13101011002 13101031003 13101011001 13101071003 13101021003 13101021002 13101021006 13101291001 13101011005 13101011003 13101101001 13101041004 13101041003 13101011004 13101041001 13101061001 13101031004 13101101002 13101111001 13101031005 13101031006 13101101003 13101041005 13101111002 13101031007 13101111003 13101051003 13101111014 13101101004 13101101005 13101111015 13101131009 13101121002 13101131007 13101111017 13101111005 13101111004 13101121008 13101131002 13101101007 13101121009 13101281001 13101101008 13101111018 13101111006 13101101009 13101111011 13101111010 13101121006 13101101010 13101111007 13101131003 13101121004 13101121003 13101131008 13101281002 13101111008 13101271002 13101131005 13101141001 13101281003 13101271003 13101141003 13101271004 13101281006 13101281005 13101151003 13101151002 13101161001,124,140,129
Vitacura,13132041007 13132041002 13132041004 13132041001 13132021003 13132041008 13132041006 13132041005 13132021001 13132051002 13132021005 13132051003 13132021007 13132051001 13132021004 13132011003 13132021002 13132011001 13132011002 13132021006 13132011004 13132011005 13132011006,13107051001 13114131001 13115011012 13115011001 13123071002 13132031001 13132031002 13132041003 13132041007 13132041002 13132041004 13132041001 13132021003 13132041008 13132041006 13132041005 13132021001 13132051002 13132021005 13132051003 13132021007 13132051001 13132021004 13132011003 13132021002 13132011001 13132011002 13132021006 13132011004 13132011005 13132011006,13132031001 13132031002 13132041003 13132041007 13132041002 13132041004 13132041001 13132021003 13132041008 13132041006 13132041005 13132021001 13132051002 13132021005 13132051003 13132021007 13132051001 13132021004 13132011003 13132021002 13132011001 13132011002 13132021006 13132011004 13132011005 13132011006,23,31,26
Ñuñoa,13120021002 13120101007 13120021001 13120071003 13120021003 13120101008 13120051003 13120051001 13120051002 13120071001 13120041003 13120041005 13120091002 13120071004 13120091003 13120071005 13120061002 13120081001 13120081003 13120081002 13120071006 13120011004 13120031002 13120101003 13120111002 13120111006 13120021005 13120011005 13120011001 13120111003 13120031001 13120111004 13120011002 13120011006 13120011009 13120111001 13120111005 13120011007 13120011003 13120031003 13120011008 13120101002 13120101004 13120101006 13120041004 13120071002 13120101005 13120051004,13113011004 13120021002 13120101007 13120021001 13120071003 13120021003 13120041002 13120101008 13120051003 13120051001 13120051002 13120071001 13120041003 13120041005 13120091002 13120071004 13120091003 13120071005 13120061001 13120061002 13120061005 13120061003 13120081001 13120091001 13120081003 13120081002 13120061004 13120071006 13120081004 13120071007 13120011004 13120031002 13120101003 13120111002 13120111006 13120021004 13120021005 13120021006 13120011005 13120011001 13120111007 13120111003 13120031001 13120111004 13120011002 13120011006 13120011009 13120111001 13120111005 13120011007 13120011003 13120031003 13120011008 13120101001 13120101002 13120041001 13120101004 13120101006 13120041004 13120071002 13120101005 13120051004 13123051001 13123021007 13123041012 13123011003 13123061003,13120021002 13120101007 13120021001 13120071003 13120021003 13120041002 13120101008 13120051003 13120051001 13120051002 13120071001 13120041003 13120041005 13120091002 13120071004 13120091003 13120071005 13120061001 13120061002 13120061005 13120061003 13120081001 13120091001 13120081003 13120081002 13120061004 13120071006 13120081004 13120071007 13120011004 13120031002 13120101003 13120111002 13120111006 13120021004 13120021005 13120021006 13120011005 13120011001 13120111007 13120111003 13120031001 13120111004 13120011002 13120011006 13120011009 13120111001 13120111005 13120011007 13120011003 13120031003 13120011008 13120101001 13120101002 13120041001 13120101004 13120101006 13120041004 13120071002 13120101005 13120051004,48,67,61
Puente Alto Poniente,13201161010 13201161002 13201171006 13201171003 13201161003 13201171007 13201071006 13201071008 13201071005 13201171008 13201161006 13201161008 13201161004 13201161009 13201171004 13201171002 13201171001 13201071002 13201171005 13201171009 13201151001 13201151002 13201061003 13201161005 13201071003 13201071004 13201141002 13201141005 13201181001 13201141006 13201051008 13201181003 13201051006 13201181009 13201141003 13201141008 13201051001 13201051002 13201051005 13201181004 13201141007 13201181008 13201051003 13201181005 13201181007 13201061007 13201051007 13201051009 13201151003 13201061002 13201061006 13201131001 13201131002 13201131003 13201131004 13201141001 13201061004 13201131005 13201061005 13201051010 13201051011 13201181002,13110131003 13110131002 13112011002 13201161001 13201161010 13201161002 13201171006 13201171003 13201071007 13201161003 13201171007 13201071006 13201071008 13201071005 13201171008 13201161006 13201161008 13201161004 13201161009 13201161007 13201171004 13201171002 13201171001 13201071002 13201071001 13201171005 13201171009 13201151001 13201011003 13201151002 13201061003 13201161005 13201071003 13201071004 13201141002 13201141005 13201181001 13201141004 13201141006 13201051008 13201181003 13201051006 13201181009 13201141003 13201141008 13201051001 13201051002 13201051005 13201181004 13201141007 13201181008 13201051003 13201181005 13201181007 13201051004 13201061007 13201051007 13201051009 13201061001 13201151003 13201041001 13201061002 13201061006 13201131001 13201131002 13201131003 13201131004 13201141001 13201181006 13201061004 13201131005 13201061005 13201051010 13201051011 13201181002,13201161001 13201161010 13201161002 13201171006 13201171003 13201071007 13201161003 13201171007 13201071006 13201071008 13201071005 13201171008 13201161006 13201161008 13201161004 13201161009 13201161007 13201171004 13201171002 13201171001 13201071002 13201071001 13201171005 13201171009 13201151001 13201151002 13201061003 13201161005 13201071003 13201071004 13201141002 13201141005 13201181001 13201141004 13201141006 13201051008 13201181003 13201051006 13201181009 13201141003 13201141008 13201051001 13201051002 13201051005 13201181004 13201141007 13201181008 13201051003 13201181005 13201181007 13201051004 13201061007 13201051007 13201051009 13201061001 13201151003 13201061002 13201061006 13201131001 13201131002 13201131003 13201131004 13201141001 13201181006 13201061004 13201131005 13201061005 13201051010 13201051011 13201181002,62,75,70
Santiago Norte,13101151001 13101121007 13101031002 13101021001 13101021005 13101021007 13101021008 13101041002 13101051002 13101061002 13101061003 13101081001 13101081003 13101091001 13101091002 13101091003 13101091004 13101111009 13101111012 13101111013 13101111019 13101121001 13101121005 13101131001 13101131004 13101131006 13101141002 13101151004 13101261001 13101271001 13101281004 13101111016 13101051001 13101101006 13101081004 13101031001 13101071002 13101021004 13101081002 13101011002 13101031003 13101011001 13101071003 13101021003 13101021002 13101021006 13101011005 13101011003 13101101001 13101041004 13101041003 13101011004 13101041001 13101061001 13101031004 13101101002 13101111001 13101031005 13101031006 13101101003 13101041005 13101111002 13101031007 13101111003 13101051003 13101111014 13101101004 13101101005 13101111015 13101131009 13101121002 13101131007 13101111017 13101111005 13101111004 13101121008 13101131002 13101101007 13101121009 13101281001 13101101008 13101111018 13101111006 13101101009 13101111011 13101111010 13101121006 13101101010 13101111007 13101131003 13101121004 13101121003 13101131008 13101281002 13101111008 13101271002 13101131005 13101141001 13101281003 13101271003 13101141003 13101271004 13101281006 13101281005 13101151003 13101151002,13101071001 13101151001 13101121007 13101031002 13101021001 13101021005 13101021007 13101021008 13101041002 13101051002 13101061002 13101061003 13101081001 13101081003 13101091001 13101091002 13101091003 13101091004 13101111009 13101111012 13101111013 13101111019 13101121001 13101121005 13101131001 13101131004 13101131006 13101141002 13101151004 13101261001 13101271001 13101281004 13101221001 13101111016 13101051001 13101101006 13101081004 13101031001 13101071002 13101021004 13101081002 13101011002 13101031003 13101011001 13101071003 13101021003 13101021002 13101021006 13101291001 13101011005 13101011003 13101101001 13101041004 13101041003 13101011004 13101041001 13101061001 13101031004 13101101002 13101111001 13101031005 13101031006 13101101003 13101041005 13101111002 13101031007 13101111003 13101051003 13101111014 13101101004 13101101005 13101111015 13101131009 13101121002 13101131007 13101111017 13101111005 13101111004 13101121008 13101131002 13101101007 13101121009 13101281001 13101101008 13101111018 13101111006 13101101009 13101111011 13101111010 13101121006 13101101010 13101111007 13101131003 13101121004 13101121003 13101131008 13101281002 13101111008 13101271002 13101131005 13101141001 13101281003 13101271003 13101141003 13101271004 13101281006 13101281005 13101151003 13101151002 13106121001 13120111001 13120101001 13123061001 13126031003 13126031002,13101071001 13101151001 13101121007 13101031002 13101021001 13101021005 13101021007 13101021008 13101041002 13101051002 13101061002 13101061003 13101081001 13101081003 13101091001 13101091002 13101091003 13101091004 13101111009 13101111012 13101111013 13101111019 13101121001 13101121005 13101131001 13101131004 13101131006 13101141002 13101151004 13101261001 13101271001 13101281004 13101111016 13101051001 13101101006 13101081004 13101031001 13101071002 13101021004 13101081002 13101011002 13101031003 13101011001 13101071003 13101021003 13101021002 13101021006 13101291001 13101011005 13101011003 13101101001 13101041004 13101041003 13101011004 13101041001 13101061001 13101031004 13101101002 13101111001 13101031005 13101031006 13101101003 13101041005 13101111002 13101031007 13101111003 13101051003 13101111014 13101101004 13101101005 13101111015 13101131009 13101121002 13101131007 13101111017 13101111005 13101111004 13101121008 13101131002 13101101007 13101121009 13101281001 13101101008 13101111018 13101111006 13101101009 13101111011 13101111010 13101121006 13101101010 13101111007 13101131003 13101121004 13101121003 13101131008 13101281002 13101111008 13101271002 13101131005 13101141001 13101281003 13101271003 13101141003 13101271004 13101281006 13101281005 13101151003 13101151002,106,115,108
Ñuñoa Norte,13120021002 13120021001 13120071003 13120021003 13120051001 13120071001 13120041003 13120041005 13120071004 13120011004 13120031002 13120101003 13120111002 13120111006 13120021005 13120011005 13120011001 13120111003 13120031001 13120111004 13120011002 13120011006 13120011009 13120111001 13120111005 13120011007 13120011003 13120031003 13120011008 13120101002 13120101004 13120101006 13120041004 13120071002 13120101005 13120051004,13113011004 13120021002 13120101007 13120021001 13120071003 13120021003 13120041002 13120101008 13120051003 13120051001 13120051002 13120071001 13120041003 13120041005 13120071004 13120091001 13120011004 13120031002 13120101003 13120111002 13120111006 13120021004 13120021005 13120021006 13120011005 13120011001 13120111007 13120111003 13120031001 13120111004 13120011002 13120011006 13120011009 13120111001 13120111005 13120011007 13120011003 13120031003 13120011008 13120101001 13120101002 13120041001 13120101004 13120101006 13120041004 13120071002 13120101005 13120051004 13123051001 13123021007 13123041012 13123011003 13123061003,13120021002 13120101007 13120021001 13120071003 13120021003 13120041002 13120101008 13120051003 13120051001 13120051002 13120071001 13120041003 13120041005 13120071004 13120011004 13120031002 13120101003 13120111002 13120111006 13120021004 13120021005 13120021006 13120011005 13120011001 13120111007 13120111003 13120031001 13120111004 13120011002 13120011006 13120011009 13120111001 13120111005 13120011007 13120011003 13120031003 13120011008 13120101001 13120101002 13120041001 13120101004 13120101006 13120041004 13120071002 13120101005 13120051004,36,53,46
El Bosque,13105041002 13105011005 13105031001 13105021001 13105011001 13105021002 13105021003 13105041001 13105011002 13105091003 13105061003 13105011003 13105061004 13105091002 13105061005 13105081001 13105081002 13105071004 13105081004 13105071003 13105081003 13105071001 13105081005 13105071002 13105051001 13105051002 13105051003 13105031002 13105051004 13105051005 13105091004 13105091001 13105061001 13105061002 13105071005 13105101001 13105101002 13105101003,13105041002 13105011005 13105031001 13105021001 13105011001 13105021002 13105021003 13105041001 13105011002 13105091003 13105061003 13105011003 13105061004 13105091002 13105061005 13105011004 13105081001 13105081002 13105071004 13105081004 13105071003 13105081003 13105071001 13105081005 13105071002 13105051001 13105051002 13105051003 13105031002 13105051004 13105051005 13105091004 13105091001 13105061001 13105061002 13105071005 13105101001 13105101002 13105101003 13109051003 13109061004 13109051002 13112031005 13112041004 13131051004 13401111001,13105041002 13105011005 13105031001 13105021001 13105011001 13105021002 13105021003 13105041001 13105011002 13105091003 13105061003 13105011003 13105061004 13105091002 13105061005 13105011004 13105081001 13105081002 13105071004 13105081004 13105071003 13105081003 13105071001 13105081005 13105071002 13105051001 13105051002 13105051003 13105031002 13105051004 13105051005 13105091004 13105091001 13105061001 13105061002 13105071005 13105101001 13105101002 13105101003,38,46,39
