nombre,ZonasInFull,ZonasInPartial,ZonasInArea0.25,n_InFull,n_InPartial,n_InArea0.25
Antofagasta,21010110170 21010110160 21010110150 21010110180 21010110130 21010110200 21010110050 21010110210 21010110080 21010110140 21010110030 21010110220 21011410020 21010410020 21011410030 21011610020 21010410040 21010210010 21010410010 21011710040 21011710030 21011610030 21010410050 21011510020 21011510030 21011810030 21010110100 21011410080 21010110020 21011410070 21011410050 21011410040 21011410090 21011610050 21010210020 21011410010 21010110120 21011610010 21011610040 21010110090 21010310030 21011810010 21010310010 21010310020 21011810020 21010310060 21010510020 21010710010 21010610030 21010310040 21010510030 21011410060 21010110110 21010210040 21011510010 21010210030 21010410030 21010810030 21010910020 21010810020 21010910040 21010910090 21010910095 21010910070 21010910030 21010910080 21010910060 21010910050 21011010030 21011010015 21010210025 21010210035 21010210045 21010310045 21010310055 21010410055 21010510015 21010610020 21010810040 21010710040 21010710047 21010710045 21010710050 21010710020 21010810010 21010710015 21010710055 21010810015 21010810025 21010910025 21010910045 21010910075 21011510015 21011510035 21011710025 21011710035 21011710045 21011810015 21011810017 21011810025 21011810035 21011410098 21010110019 21010110029 21010110039 21010110109 21010110139 21010110149 21010110169 21010110179 21010110189 21010210019 21010210029 21010210039 21010210049 21010310049 21010310059 21010410019 21010410049 21010410059 21010510039 21010610019 21010610039 21010710019 21010710039 21010710049 21010810019 21010810029 21010910019 21010910029 21010910109 21011410019 21011410029 21011410049 21011410089 21011410099 21011510029 21011510039 21011610029 21011610039 21011610049 21011610059 21011710029 21011710049 21011810019 21011810029 21011810039,21010110170 21010110160 21010110150 21010110190 21010110180 21010110130 21010110200 21010110050 21010110210 21010110080 21010110140 21010110030 21010110220 21011410020 21010410020 21011410030 21011610020 21010410040 21010210010 21010410010 21011710040 21011710030 21011610030 21011710020 21011710010 21010410050 21011510020 21011510030 21011510040 21011810030 21010110100 21011410080 21010110020 21011410070 21010110010 21011410050 21011410040 21011410090 21011610050 21010210020 21011410010 21010110120 21011610010 21011610040 21010110090 21010310030 21011810010 21010310010 21010310020 21011810020 21011810040 21010310050 21010310060 21010510010 21010510020 21010710010 21010610030 21010610010 21010310040 21010510030 21011410060 21010110110 21010110040 21010210050 21010210040 21011510010 21010210030 21010410030 21010910010 21010710030 21010810030 21010910020 21010510025 21010810020 21010910040 21010910090 21010910095 21010910100 21010910070 21010910030 21010910080 21010910060 21010910050 21011010030 21011010010 21011010015 21011010020 21010110045 21010210025 21010210035 21010210045 21010310045 21010310055 21010410055 21010510015 21010610020 21010810040 21010710040 21010710047 21010710045 21010710050 21010710020 21010810010 21010510035 21010710015 21010710035 21010710055 21010810015 21010810025 21010910025 21010910045 21010910075 21011010025 21011410095 21011510015 21011510035 21011710025 21011710035 21011710045 21011810015 21011810017 21011810025 21011810035 21011810045 21011410098 21011710015 21011810048 21010110019 21010110029 21010110039 21010110049 21010110109 21010110139 21010110149 21010110169 21010110179 21010110189 21010210019 21010210029 21010210039 21010210049 21010310049 21010310059 21010410019 21010410049 21010410059 21010510029 21010510039 21010610019 21010610039 21010710019 21010710039 21010710049 21010810019 21010810029 21010910019 21010910029 21010910059 21010910109 21011010029 21011410019 21011410029 21011410049 21011410089 21011410099 21011510029 21011510039 21011510049 21011610019 21011610029 21011610039 21011610049 21011610059 21011710019 21011710029 21011710049 21011810019 21011810029 21011810039 21011810049,21010110170 21010110160 21010110150 21010110190 21010110180 21010110130 21010110200 21010110050 21010110210 21010110080 21010110140 21010110030 21010110220 21011410020 21010410020 21011410030 21011610020 21010410040 21010210010 21010410010 21011710040 21011710030 21011610030 21011710020 21011710010 21010410050 21011510020 21011510030 21011510040 21011810030 21010110100 21011410080 21010110020 21011410070 21010110010 21011410050 21011410040 21011410090 21011610050 21010210020 21011410010 21010110120 21011610010 21011610040 21010110090 21010310030 21011810010 21010310010 21010310020 21011810020 21011810040 21010310050 21010310060 21010510010 21010510020 21010710010 21010610030 21010610010 21010310040 21010510030 21011410060 21010110110 21010110040 21010210050 21010210040 21011510010 21010210030 21010410030 21010910010 21010710030 21010810030 21010910020 21010510025 21010810020 21010910040 21010910090 21010910095 21010910100 21010910070 21010910030 21010910080 21010910060 21010910050 21011010030 21011010010 21011010015 21011010020 21010110045 21010210025 21010210035 21010210045 21010310045 21010310055 21010410055 21010510015 21010610020 21010810040 21010710040 21010710047 21010710045 21010710050 21010710020 21010810010 21010510035 21010710015 21010710035 21010710055 21010810015 21010810025 21010910025 21010910045 21010910075 21011010025 21011410095 21011510015 21011510035 21011710025 21011710035 21011710045 21011810015 21011810017 21011810025 21011810035 21011810045 21011410098 21011810048 21010110019 21010110029 21010110039 21010110049 21010110109 21010110139 21010110149 21010110169 21010110179 21010110189 21010210019 21010210029 21010210039 21010210049 21010310049 21010310059 21010410019 21010410049 21010410059 21010510029 21010510039 21010610019 21010610039 21010710019 21010710039 21010710049 21010810019 21010810029 21010910019 21010910029 21010910059 21010910109 21011010029 21011410019 21011410029 21011410049 21011410089 21011410099 21011510029 21011510039 21011610019 21011610029 21011610039 21011610049 21011610059 21011710019 21011710029 21011710049 21011810019 21011810029 21011810039 21011810049,147,180,178
Cerrillos,13102031005 13102031003 13102021003 13102041001 13102041003 13102041004 13102031006 13102031002 13102031007 13102031004 13102021002 13102021001 13102011004 13102021004 13102011003,13102031005 13102031003 13102021003 13102041001 13102041003 13102011002 13102041006 13102041004 13102041002 13102031001 13102041005 13102031006 13102031002 13102031007 13102031004 13102021002 13102021001 13102011004 13102021004 13102011001 13102011003 13119151001 13119021008 13119021007 13119021009 13401111003,13102031005 13102031003 13102021003 13102041001 13102041003 13102011002 13102041006 13102041004 13102041002 13102031001 13102041005 13102031006 13102031002 13102031007 13102031004 13102021002 13102021001 13102011004 13102021004 13102011001 13102011003,15,26,21
Mejillones,21020110020 21020110015 21020110018 21020110025 21020110029,21020110010 21020110020 21020110015 21020110018 21020110025 21020110019 21020110029,21020110010 21020110020 21020110015 21020110018 21020110025 21020110019 21020110029,5,7,7
Quilicura,13125041007 13125041006 13125041005 13125021013 13125041011 13125041012 13125021009 13125021021 13125021020 13125021007 13125021008 13125041003 13125041010 13125041015 13125021015 13125041002 13125021017 13125041009 13125021010 13125021006 13125021001 13125021014 13125041004 13125041013 13125021004 13125041014 13125011001 13125021012 13125021005 13125011006 13125021016 13125041008 13125021019 13125041001 13125021011 13125021002 13125011005 13125011002 13125011004 13125011008,13125041007 13125041006 13125041005 13125021013 13125041011 13125041012 13125021009 13125021021 13125021020 13125021007 13125021008 13125041003 13125031001 13125041010 13125041015 13125021015 13125041002 13125021017 13125041009 13125021010 13125021006 13125021001 13125021014 13125041004 13125041013 13125021004 13125041014 13125011001 13125021003 13125021012 13125021005 13125011006 13125021016 13125041008 13125021019 13125021018 13125041001 13125021011 13125021002 13125011005 13125011003 13125011002 13125011007 13125011004 13125011008 13128021001 13128071005 13128081001 13128081002,13125041007 13125041006 13125041005 13125021013 13125041011 13125041012 13125021009 13125021021 13125021020 13125021007 13125021008 13125041003 13125031001 13125041010 13125041015 13125021015 13125041002 13125021017 13125041009 13125021010 13125021006 13125021001 13125021014 13125041004 13125041013 13125021004 13125041014 13125011001 13125021003 13125021012 13125021005 13125011006 13125021016 13125041008 13125021019 13125021018 13125041001 13125021011 13125021002 13125011005 13125011003 13125011002 13125011007 13125011004 13125011008,40,49,45
Recoleta,13127121001 13127051003 13127061006 13127121003 13127041001 13127061007 13127041004 13127061001 13127041003 13127061005 13127061002 13127041002 13127111001 13127061004 13127061003 13127131001 13127111004 13127111003 13127051001 13127051002 13127121002 13127021004 13127071001 13127021002 13127021003 13127101002 13127091002 13127111002 13127071004 13127091003 13127071003 13127091001 13127111005 13127131002 13127131003 13127071002 13127031001 13127081003 13127081001 13127081002,13104031004 13104051006 13108051004 13123071001 13123071003 13123071002 13127121001 13127051003 13127061006 13127121003 13127041001 13127061007 13127041004 13127061001 13127041003 13127061005 13127061002 13127041002 13127111001 13127061004 13127061003 13127131001 13127111004 13127111003 13127051001 13127051002 13127121002 13127021004 13127071001 13127021002 13127021001 13127021003 13127011002 13127011001 13127101001 13127101002 13127031002 13127091002 13127111002 13127071004 13127091003 13127071003 13127091001 13127111005 13127131002 13127131003 13127071002 13127031001 13127081003 13127081001 13127081002,13127121001 13127051003 13127061006 13127121003 13127041001 13127061007 13127041004 13127061001 13127041003 13127061005 13127061002 13127041002 13127111001 13127061004 13127061003 13127131001 13127111004 13127111003 13127051001 13127051002 13127121002 13127021004 13127071001 13127021002 13127021001 13127021003 13127011002 13127011001 13127101001 13127101002 13127031002 13127091002 13127111002 13127071004 13127091003 13127071003 13127091001 13127111005 13127131002 13127131003 13127071002 13127031001 13127081003 13127081001 13127081002,40,51,45
Cerro Navia,13103081001 13103011002 13103011006 13103071002 13103071001 13103061002 13103011001 13103081003 13103071003 13103071005 13103061004 13103081002 13103061003 13103051001 13103021001 13103021002 13103021003 13103021004 13103051002 13103021005 13103031001 13103041003 13103041002 13103031002 13103041001 13103031003 13103091001 13103091004 13103091005 13103011005 13103061001 13103071004,13103081001 13103011002 13103011006 13103071002 13103071001 13103061002 13103011001 13103081003 13103071003 13103071005 13103061004 13103011004 13103081002 13103061003 13103051001 13103021001 13103021002 13103021003 13103091002 13103021004 13103051002 13103021005 13103031001 13103041003 13103041002 13103031002 13103041001 13103031003 13103091001 13103091003 13103091004 13103091005 13103011005 13103061001 13103071004 13103011003 13117021001 13124021001 13124021002 13124041005 13126081002,13103081001 13103011002 13103011006 13103071002 13103071001 13103061002 13103011001 13103081003 13103071003 13103071005 13103061004 13103011004 13103081002 13103061003 13103051001 13103021001 13103021002 13103021003 13103091002 13103021004 13103051002 13103021005 13103031001 13103041003 13103041002 13103031002 13103041001 13103031003 13103091001 13103091003 13103091004 13103091005 13103011005 13103061001 13103071004 13103011003,32,41,36
Conchalí,13104041002 13104081004 13104011002 13104031001 13104021003 13104031002 13104071002 13104021004 13104081003 13104031005 13104081002 13104011001 13104031003 13104071003 13104041001 13104041004 13104011003 13104071004 13104071001 13104041003 13104091001 13104091002 13104101003 13104051001 13104101001 13104051003 13104051002 13104051004 13104101002 13104021001 13104021002 13104081001 13104051005 13104061001 13104061003,13104041002 13104081004 13104011002 13104031001 13104021003 13104031002 13104071002 13104021004 13104081003 13104031005 13104081002 13104031004 13104011001 13104031003 13104071003 13104041001 13104041004 13104011003 13104071004 13104071001 13104041003 13104091001 13104091002 13104101003 13104051001 13104101001 13104051003 13104051002 13104051004 13104101002 13104091003 13104021001 13104021002 13104081001 13104051005 13104051006 13104061001 13104061003 13104061002 13108051001 13108041001,13104041002 13104081004 13104011002 13104031001 13104021003 13104031002 13104071002 13104021004 13104081003 13104031005 13104081002 13104031004 13104011001 13104031003 13104071003 13104041001 13104041004 13104011003 13104071004 13104071001 13104041003 13104091001 13104091002 13104101003 13104051001 13104101001 13104051003 13104051002 13104051004 13104101002 13104091003 13104021001 13104021002 13104081001 13104051005 13104051006 13104061001 13104061003 13104061002,35,41,39
La Cisterna,13109021001 13109021004 13109021003 13109021002 13109011001 13109011003 13109041001 13109011002 13109011004 13109061001 13109041003 13109041004 13109061002 13109061003 13109051001 13109061004 13109021005,13109021001 13109021004 13109031003 13109021003 13109021002 13109031001 13109011001 13109031002 13109011003 13109041001 13109041002 13109011002 13109011004 13109061001 13109041003 13109041004 13109061002 13109061003 13109051001 13109051003 13109061004 13109051002 13109021005 13131051001 13131051002 13131051004 13131061001,13109021001 13109021004 13109031003 13109021003 13109021002 13109031001 13109011001 13109031002 13109011003 13109041001 13109041002 13109011002 13109011004 13109061001 13109041003 13109041004 13109061002 13109061003 13109051001 13109051003 13109061004 13109051002 13109021005,17,27,23
La Florida,13110031005 13110061005 13110061002 13110061006 13110031001 13110061008 13110031006 13110211003 13110071003 13110191001 13110031002 13110081002 13110081001 13110031003 13110031004 13110031007 13110191002 13110201003 13110051004 13110071001 13110191003 13110051002 13110191004 13110051005 13110091003 13110011002 13110011004 13110011003 13110051001 13110021001 13110051003 13110061007 13110021005 13110071005 13110091002 13110201004 13110091005 13110171001 13110171002 13110101003 13110101001 13110201005 13110171006 13110171003 13110101004 13110101002 13110101005 13110181003 13110181002 13110171005 13110171004 13110011005 13110021002 13110061004 13110061003 13110061001 13110021004 13110021006 13110021003 13110041001 13110081003 13110091001 13110041002 13110141005 13110111002 13110121001 13110111001 13110161002 13110161001 13110111006 13110111007 13110111005 13110121002 13110161003 13110161004 13110151004 13110151003 13110121003 13110141006 13110111003 13110151005 13110161006 13110111004 13110161005 13110121004 13110141007 13110141004 13110131001 13110141001 13110081004,13110031005 13110061005 13110061002 13110071004 13110061006 13110031001 13110211001 13110061008 13110031006 13110211003 13110211002 13110071003 13110191001 13110031002 13110081002 13110201001 13110081001 13110031003 13110031004 13110031007 13110191002 13110201003 13110201002 13110051004 13110071001 13110191003 13110051002 13110191004 13110051005 13110091003 13110011002 13110071002 13110011001 13110011004 13110011003 13110051001 13110021001 13110211004 13110051003 13110061007 13110021005 13110071005 13110091002 13110201004 13110091005 13110181001 13110171001 13110171002 13110101003 13110101001 13110201005 13110091004 13110171006 13110171003 13110101004 13110101002 13110101005 13110181004 13110181003 13110181002 13110171005 13110171004 13110011005 13110021002 13110061004 13110061003 13110061001 13110021004 13110021006 13110021003 13110041001 13110081003 13110091001 13110041002 13110141005 13110111002 13110131003 13110131002 13110121001 13110111001 13110161002 13110161001 13110111006 13110151001 13110111007 13110111005 13110121002 13110161003 13110161004 13110151004 13110151003 13110151002 13110121003 13110141006 13110111003 13110151005 13110161006 13110111004 13110161005 13110121004 13110141007 13110141004 13110141003 13110131001 13110141001 13110141002 13110081004 13118031003 13122031001 13122031011 13122031010 13122041002 13201121003 13201121004 13201121001 13201121002 13201121005 13201161001 13201161010 13201021001 13201021004 13201021002,13110031005 13110061005 13110061002 13110071004 13110061006 13110031001 13110211001 13110061008 13110031006 13110211003 13110211002 13110071003 13110191001 13110031002 13110081002 13110201001 13110081001 13110031003 13110031004 13110031007 13110191002 13110201003 13110201002 13110051004 13110071001 13110191003 13110051002 13110191004 13110051005 13110091003 13110011002 13110071002 13110011001 13110011004 13110011003 13110051001 13110021001 13110211004 13110051003 13110061007 13110021005 13110071005 13110091002 13110201004 13110091005 13110181001 13110171001 13110171002 13110101003 13110101001 13110201005 13110091004 13110171006 13110171003 13110101004 13110101002 13110101005 13110181004 13110181003 13110181002 13110171005 13110171004 13110011005 13110021002 13110061004 13110061003 13110061001 13110021004 13110021006 13110021003 13110041001 13110081003 13110091001 13110041002 13110141005 13110111002 13110131003 13110131002 13110121001 13110111001 13110161002 13110161001 13110111006 13110151001 13110111007 13110111005 13110121002 13110161003 13110161004 13110151004 13110151003 13110151002 13110121003 13110141006 13110111003 13110151005 13110161006 13110111004 13110161005 13110121004 13110141007 13110141004 13110141003 13110131001 13110141001 13110141002 13110081004 13201021001,90,122,108
La Granja,13111031001 13111031003 13111061001 13111021004 13111021003 13111021001 13111081001 13111061002 13111061003 13111021002 13111011002 13111011003 13111011001 13111071004 13111071005 13111081004 13111071002 13111071001 13111081002 13111071003 13111081003 13111051004 13111041001 13111041003 13111051003 13111051005 13111051002 13111051001 13111041002 13111031002,13110211002 13111031001 13111031003 13111061001 13111021004 13111021003 13111021001 13111081001 13111061002 13111061003 13111021002 13111011002 13111011003 13111011001 13111071004 13111071005 13111081004 13111071002 13111071001 13111081002 13111071003 13111081003 13111051004 13111041001 13111041003 13111051003 13111051005 13112051009 13111051002 13111051001 13111041002 13111031002 13112051010 13112051003 13129051003,13111031001 13111031003 13111061001 13111021004 13111021003 13111021001 13111081001 13111061002 13111061003 13111021002 13111011002 13111011003 13111011001 13111071004 13111071005 13111081004 13111071002 13111071001 13111081002 13111071003 13111081003 13111051004 13111041001 13111041003 13111051003 13111051005 13111051002 13111051001 13111041002 13111031002,30,35,30
Lo Espejo,13116071004 13116021001 13116071003 13116021002 13116031003 13116071005 13116011004 13116011001 13116041002 13116041003 13116041004 13116041001 13116071001 13116031004 13116071002 13116031001 13116031002 13116011002 13116011003,13116071004 13116051002 13116021001 13116071003 13116021002 13116031003 13116071005 13116011004 13116011001 13116061001 13116041002 13116041003 13116061002 13116041004 13116041001 13116061003 13116071001 13116031004 13116071002 13116031001 13116031002 13116051001 13116011002 13116011003 13116011005,13116071004 13116051002 13116021001 13116071003 13116021002 13116031003 13116071005 13116011004 13116011001 13116061001 13116041002 13116041003 13116061002 13116041004 13116041001 13116061003 13116071001 13116031004 13116071002 13116031001 13116031002 13116051001 13116011002 13116011003 13116011005,19,25,25
Lo Prado,13117031002 13117071002 13117051003 13117051002 13117071003 13117051004 13117051001 13117031004 13117031001 13117071004 13117031005 13117071001 13117041003 13117041002 13117041001 13117041004 13117041005 13117021003 13117021005 13117011001 13117011004 13117061001 13117061003 13117011003 13117011002 13117021002 13117061002,13117031002 13117071002 13117031006 13117051003 13117051002 13117071003 13117051004 13117051001 13117031004 13117031003 13117031001 13117071004 13117031005 13117071001 13117041003 13117041002 13117041001 13117041004 13117041005 13117021003 13117021004 13117021005 13117011001 13117011004 13117021001 13117061001 13117061003 13117011003 13117011002 13117021002 13117061002 13126061002 13126061003 13126051001,13117031002 13117071002 13117031006 13117051003 13117051002 13117071003 13117051004 13117051001 13117031004 13117031003 13117031001 13117071004 13117031005 13117071001 13117041003 13117041002 13117041001 13117041004 13117041005 13117021003 13117021004 13117021005 13117011001 13117011004 13117021001 13117061001 13117061003 13117011003 13117011002 13117021002 13117061002,27,34,31
Macul,13118031001 13118051005 13118031005 13118061002 13118061001 13118011001 13118051002 13118051003 13118061003 13118011004 13118051001 13118051004 13118011003 13118061005 13118061006 13118061004 13118041004 13118041002 13118021001 13118041001 13118021002 13118021004 13118041005 13118041003 13118021007 13118021005 13118031006 13118021003 13118021006 13118031004 13118031002 13118031003,13118031001 13118051005 13118031005 13118011002 13118061002 13118061001 13118011001 13118051002 13118051003 13118061003 13118011004 13118051001 13118051004 13118011003 13118061005 13118061006 13118061004 13118041004 13118041002 13118021001 13118041001 13118021002 13118021004 13118041005 13118041003 13118021007 13118021005 13118031006 13118021003 13118021006 13118031004 13118031002 13118031003 13120061001 13120061005 13120061003 13120061004 13120081004 13120071007,13118031001 13118051005 13118031005 13118011002 13118061002 13118061001 13118011001 13118051002 13118051003 13118061003 13118011004 13118051001 13118051004 13118011003 13118061005 13118061006 13118061004 13118041004 13118041002 13118021001 13118041001 13118021002 13118021004 13118041005 13118041003 13118021007 13118021005 13118031006 13118021003 13118021006 13118031004 13118031002 13118031003,32,39,33
Peñalolén,13122021003 13122071001 13122081001 13122081002 13122011004 13122011003 13122091002 13122091004 13122071002 13122021002 13122071004 13122071005 13122061001 13122021004 13122061004 13122081004 13122061002 13122081003 13122061003 13122091001 13122031002 13122031006 13122111003 13122111002 13122111004 13122031003 13122031001 13122031008 13122101003 13122101005 13122101004 13122051001 13122031004 13122051002 13122031005 13122041003 13122051003 13122051005 13122111001 13122041004 13122101002 13122031009 13122111005 13122031007 13122051004 13122041001 13122041005 13122101001,13110071001 13110071002 13110051003 13120041002 13122021003 13122011001 13122091003 13122011002 13122071003 13122021001 13122071001 13122081001 13122081002 13122011004 13122011003 13122091002 13122091004 13122071002 13122021002 13122071004 13122071005 13122061001 13122021004 13122061004 13122081004 13122061002 13122081003 13122061003 13122091001 13122031002 13122031006 13122111003 13122111002 13122111004 13122031003 13122031001 13122031008 13122101003 13122101005 13122101004 13122051001 13122031011 13122031004 13122031010 13122051002 13122031005 13122041003 13122051003 13122051005 13122111001 13122041004 13122101002 13122031009 13122111005 13122031007 13122051004 13122041001 13122041005 13122101001 13122041002,13122021003 13122011001 13122091003 13122011002 13122071003 13122021001 13122071001 13122081001 13122081002 13122011004 13122011003 13122091002 13122091004 13122071002 13122021002 13122071004 13122071005 13122061001 13122021004 13122061004 13122081004 13122061002 13122081003 13122061003 13122091001 13122031002 13122031006 13122111003 13122111002 13122111004 13122031003 13122031001 13122031008 13122101003 13122101005 13122101004 13122051001 13122031011 13122031004 13122031010 13122051002 13122031005 13122041003 13122051003 13122051005 13122111001 13122041004 13122101002 13122031009 13122111005 13122031007 13122051004 13122041001 13122041005 13122101001 13122041002,48,60,56
